ID,TITULO,GENERO,RATING
2,GENERALS DAUGHTER,Accion,1.9
6,EENFANCE NAKED CHILDHOOD,Accion,9.6
8,HOW TO SURVIVE A PLAGUE,Accion,8.4
12,ROMANTIC COMEDY,Accion,3.5
14,CASSHERN,Accion,6.5
19,CANNIBAL HOLOCAUST,Accion,4.7
22,NAKED IN NEW YORK,Accion,8.4
24,TIC CODE,Accion,7.6
25,KICK ASS,Accion,3.0
30,SOMETIMES THEY COME BACK,Accion,2.9
35,WITH LOVE,Accion,7.3
36,QUESTIONING DARWIN,Accion,8.1
37,DESIGNING WOMAN,Accion,8.0
40,SATURDAY NIGHT FEVER,Accion,4.7
43,AT THE EARTHS CORE,Accion,8.4
48,TAXI 4,Accion,8.9
53,47 RONIN,Accion,4.5
54,HEARTLANDS,Accion,7.9
56,MINIONS,Accion,2.7
59,1969,Accion,5.2
60,FLYING DOWN TO RIO,Accion,7.9
64,UGLY TRUTH,Accion,5.5
67,MYSTERY SCIENCE THEATER 3000,Accion,1.4
75,BIG MOMMAS LIKE FATHER,Accion,2.7
81,CARBON COPY,Accion,2.0
83,DODGE CITY,Accion,1.2
87,JE APPELLE ELISABETH,Accion,2.2
91,TAKE ME OUT TO THE BALL GAME,Accion,7.9
92,SILENT HOUSE,Accion,9.0
94,EERIE TALES,Accion,6.2
95,CLOVERFIELD,Accion,7.1
99,JIMMY ROSENBERG,Accion,4.9
