ID,TITULO,GENERO,RATING
4,DAY AFTER TRINITY,Drama,3.0
7,WHO IS JOHN GALT,Drama,9.3
11,MUSKETEER,Drama,2.0
17,SATANS TANGO ,Drama,8.0
18,CHU CHIN CHOW,Drama,8.7
20,BOY MEETS BOY,Drama,9.7
21,SGT KABUKIMAN,Drama,2.5
28,THE COVEN,Drama,5.9
31,FLOUNDERING,Drama,2.1
34,YONKERS JOE,Drama,1.0
38,BATTLESTAR GALACTICA,Drama,5.8
42,EXPERIMENT IN TERROR,Drama,8.8
44,SUMMER IN BERLIN,Drama,8.1
46,36 QUAI DES ORFEVRES,Drama,4.4
47,RAIDERS OF THE LOST ARK,Drama,6.2
49,HORRIBLE BOSSES 2,Drama,3.2
50,JILL THE RIPPER,Drama,3.5
62,DAWN RIDER,Drama,5.7
68,MOUNTAINTOP MOTEL MASSACRE,Drama,6.9
70,PIRATES WHO DONT DO ANYTHING,Drama,1.2
72,5 DEADLY VENOMS,Drama,4.5
74,IN AMERICA,Drama,6.7
82,ROGUE COP,Drama,4.3
84,GREATEST SHOW ON EARTH,Drama,8.0
85,QUICKSILVER HIGHWAY,Drama,3.2
86,CREEPSHOW 2,Drama,3.8
89,PHANTOM,Drama,7.3
90,CHEECH AND CHONG,Drama,2.3
93,ORDINARY DECENT CRIMINAL,Drama,5.4
